"position","domain","city","company","experience","english","salary","technology","specialization","period","title","group","framework"
"Software Engineer","Fintech / Banking / Capital Management",1,1,7,4,3900,"C#/.NET","Desktop","2024-12",4,1,""
"Software Engineer","Travel",9,3,6,4,5600,"C#/.NET","Full Stack","2024-12",6,1,"ASP.NET,Angular / Angular.js,Umbraco"
"Software Engineer","Ecommerce",12,1,4,4,2620,"Python","","2024-12",4,1,""
"DevOps","Ecommerce",11,1,4,3,1700,"Python",NA,"2024-12",2,5,NA
"Software Engineer","Retail",1,3,4,4,2700,"C#/.NET","Back-end","2024-12",3,1,".NET"
"Head of Analytics","Cloud Computing,Big Data,Data Science",16,3,7,5,8000,"Python",NA,"2024-12",7,3,NA
"Software Engineer","Internet of Things",1,3,1,4,1500,"Kotlin","Back-end","2024-12",2,1,"Spring"
"Software Engineer","",12,3,4,4,3850,"Kotlin","Mobile","2024-12",3,1,"Android SDK (Native)"
"Software Engineer","Ecommerce",1,3,5,4,2350,"Kotlin","Mobile","2024-12",4,1,"Android SDK (Native),Jetpack Compose,Other"
"Software Engineer","Telecom,Embedded",12,1,4,3,2660,"C","Embedded","2024-12",3,1,""
"Software Engineer","Mobile",12,3,5,5,4000,"Kotlin","Mobile","2024-12",3,1,"Android SDK (Native),Jetpack Compose"
"DevOps","Real estate",32,3,5,4,8000,"Scala",NA,"2024-12",0,5,NA
"Software Engineer","Travel",1,3,8,4,5000,"C++","Back-end","2024-12",4,1,"Boost"
"PPC Specialist","Web service",1,3,8,4,3200,"",NA,"2024-12",4,19,NA
"Recruiter","Insurance",12,3,3,2,700,"",NA,"2024-12",0,18,NA
"AI Engineer","Data Science,Blockchain",32,1,5,4,4100,"Python",NA,"2024-12",5,4,",NumPy,Pandas,Scikit-learn"
"Software Engineer","Automotive",12,1,5,3,2427,"C","Embedded","2024-12",4,1,""
"Delivery Manager","Logistics",15,3,5,4,3000,"",NA,"2024-12",10,11,NA
"Software Engineer","Web Hosting",32,1,2,4,3000,"TypeScript","Back-end","2024-12",3,1,"Nest.js,WordPress,Node.js"
"QA/QC/SDET","Ecommerce,Retail",1,3,10,4,4200,"","Manual QA","2024-12",4,2,""
"QA/QC/SDET","Ecommerce",1,3,2,3,1000,"","Manual QA","2024-12",3,2,""
"Software Engineer","Medtech / Healthcare",12,3,4,3,3000,"TypeScript","Front-end","2024-12",4,1,"React"
"Software Engineer","Fintech / Banking / Capital Management",1,1,9,5,4275,"Java","Back-end","2024-12",4,1,"Spring,Hibernate"
"Research Scientist","Data Science",12,3,0,5,250,"Python",NA,"2024-12",1,NA,NA
"Software Engineer","Ecommerce",1,3,4,4,3800,"Kotlin","Mobile","2024-12",3,1,"Kotlin Multiplatform,Android SDK (Native),Jetpack Compose"
"Software Engineer","Gambling",12,3,4,4,5530,"JavaScript","Full Stack","2024-12",4,1,"Angular / Angular.js,Express,Nest.js,Node.js"
"Community Manager","Gamedev",1,3,1,5,1200,"",NA,"2024-12",3,20,NA
"Product Marketing Manager","Mobile",1,3,6,5,2650,"",NA,"2024-12",0,19,NA
"Data Scientist","AI",9,1,0,3,1500,"Python",NA,"2024-12",2,4,"NumPy,Pandas,SciPy"
"Talent Acquisition Manager/Specialist","Fintech / Banking / Capital Management",32,3,4,3,1900,"",NA,"2024-12",0,18,NA
"Software Engineer","Fintech / Banking / Capital Management,Retail",17,3,4,2,2700,"C#/.NET","Full Stack","2024-12",3,1,""
"DevOps","High Load Systems",1,3,6,4,5000,"Python",NA,"2024-12",4,5,NA
"Business Analyst","oil&gas",3,1,8,4,4000,"",NA,"2024-12",4,3,NA
"Head of Product Design","Fintech / Banking / Capital Management",1,3,10,5,4427,"",NA,"2024-12",7,14,NA
"UI/UX Designer","Edtech / Education,Fintech / Banking / Capital Management,Blockchain",12,1,2,4,1000,"",NA,"2024-12",2,14,NA
"Talent Acquisition Manager/Specialist","Fintech / Banking / Capital Management",1,3,5,3,1750,"",NA,"2024-12",3,18,NA
"Software Engineer","Edtech / Education",12,1,3,4,3750,"TypeScript","Full Stack","2024-12",3,1,"Node.js,Vue.js"
"Business Analyst","Fintech / Banking / Capital Management,Telecom",3,7,6,2,1300,"DB langs",NA,"2024-12",4,3,NA
"DevOps","Company services",12,1,3,4,2500,"Python",NA,"2024-12",3,5,NA
"HR Manager","Gambling,Gamedev",1,3,5,2,1350,"",NA,"2024-12",3,18,NA
"Software Engineer","Gamedev",1,2,3,1,1250,"C#/.NET","","2024-12",3,1,""
"Business Analyst","Medtech / Healthcare",1,1,3,4,2000,"",NA,"2024-12",3,3,NA
"Software Engineer","Fintech / Banking / Capital Management,Logistics,Exchange",17,3,3,3,1570,"PHP","Back-end","2024-12",3,1,"Symfony"
"Head of Delivery","Big Data",1,3,1,2,5500,"",NA,"2024-12",7,11,NA
"Software Engineer","Fintech / Banking / Capital Management,Travel,Cloud Computing",1,3,7,4,11000,"TypeScript","Back-end","2024-12",4,1,"Node.js"
"Software Engineer","Ecommerce,Insurance",24,1,10,4,6000,"JavaScript","Front-end","2024-12",5,1,"Angular / Angular.js,Capacitor,Cordova"
"Software Engineer","Travel",1,3,4,2,2000,"C++","Back-end","2024-12",3,1,""
"Software Engineer","Корпоративні системи",32,5,10,3,2250,"1С","Full Stack","2024-12",4,1,""
"Software Engineer","Media",28,2,10,4,4400,"TypeScript","Front-end","2024-12",4,1,"Angular / Angular.js"
"Software Engineer","Fintech / Banking / Capital Management",2,2,10,4,4750,"Java","Back-end","2024-12",4,1,"Hibernate,Spring,Kafka,Mybatis"
"Software Engineer","Security",12,3,7,4,6500,"Kotlin","Mobile","2024-12",4,1,"Android SDK (Native)"
"Software Engineer","Fintech / Banking / Capital Management,Adtech / Advertising",1,2,9,4,8500,"Python","Back-end","2024-12",4,1,"FastAPI,Django"
"Product Manager","Real estate",1,4,4,4,3500,"",NA,"2024-12",3,12,NA
"Software Engineer","Ecommerce",11,1,4,4,1500,"TypeScript","Front-end","2024-12",3,1,"Nuxt.js,Node.js,Vue.js"
"Software Engineer","",12,1,2,4,1300,"C#/.NET","Full Stack","2024-12",2,1,"ASP.NET,.NET,Vue.js"
"QA/QC/SDET","Fintech / Banking / Capital Management",12,4,2,3,1120,"","Manual QA","2024-12",2,2,""
"Software Engineer","Edtech / Education",3,1,3,3,1450,"TypeScript","Front-end","2024-12",3,1,"Angular / Angular.js"
"Software Engineer","Automotive",12,1,10,4,6000,"Java","Back-end","2024-12",4,1,"Spring"
"QA/QC/SDET","Ecommerce",1,3,6,4,3500,"JavaScript","Automation QA","2024-12",3,2,"Cypress,Mocha,Playwright"
"QA/QC/SDET","",1,3,10,4,3500,"C#/.NET","Manual QA","2024-12",4,2,"SpecFlow"
"Software Engineer","Ecommerce",12,1,7,4,4000,"TypeScript","Front-end","2024-12",5,1,"React"
"QA/QC/SDET","Automotive",1,3,7,3,4000,"","Manual QA","2024-12",4,2,""
"Software Engineer","Logistics,Ecommerce",3,1,3,2,1700,"TypeScript","Front-end","2024-12",3,1,"Django,React"
"UI/UX Designer","Gambling,Mobile,Ecommerce",1,3,5,2,2000,"",NA,"2024-12",4,14,NA
"Product Manager","Ecommerce",23,3,2,1,967,"",NA,"2024-12",2,12,NA
"Procurement","Gamedev",17,3,10,5,2000,"",NA,"2024-12",4,25,NA
"Product Marketing Manager","Gamedev",7,3,2,5,2400,"",NA,"2024-12",3,19,NA
"QA/QC/SDET","ІТ",1,3,5,3,2800,"","Manual QA","2024-12",4,2,""
"Software Engineer","Dating",1,3,3,5,3550,"TypeScript","Front-end","2024-12",5,1,"Vue.js"
"Software Engineer","Internet of Things",1,3,2,5,2700,"Java","Back-end","2024-12",3,1,"Hibernate,Spring"
"QA/QC/SDET","Internet of Things",1,3,5,4,2100,"","Manual QA","2024-12",3,2,""
"Business Analyst","Gambling",1,3,3,5,3500,"",NA,"2024-12",3,3,NA
"Software Engineer","Construction",3,1,10,4,4510,"TypeScript","Full Stack","2024-12",4,1,"React,Ruby on Rails"
"Head of Engineering","Gambling",1,3,1,4,7300,"",NA,"2024-12",7,10,NA
"Director of Engineering","Insurance",1,3,1,4,9200,"Java",NA,"2024-12",12,10,NA
"Software Engineer","Automotive,Ecommerce",32,1,10,4,7100,"C#/.NET","Software Architect","2024-12",8,1,""
"Software Engineer","Fintech / Banking / Capital Management,Retail,Media",12,2,1,4,1800,"TypeScript","Full Stack","2024-12",2,1,"Express,React,Node.js"
"Scrum Master","Ecommerce,AR/VR",1,3,5,3,3340,"",NA,"2024-12",0,13,NA
"Software Engineer","Logistics",28,1,8,4,6300,"C#/.NET","Back-end","2024-12",4,1,"ASP.NET,.NET"
"Delivery Manager","Automotive",26,1,2,5,4000,"",NA,"2024-12",4,11,NA
"Project Manager","Retail",15,1,4,5,4200,"",NA,"2024-12",4,11,NA
"Software Engineer","Real estate",2,3,10,2,3800,"JavaScript","Back-end","2024-12",5,1,"Node.js,Vue.js"
"QA/QC/SDET","Security",12,3,1,3,800,"Python","Automation QA","2024-12",2,2,"JSON,PyTest,Cucumber"
"Business Analyst","Telecom",12,3,4,4,2700,"",NA,"2024-12",3,3,NA
"QA/QC/SDET","Fintech / Banking / Capital Management",3,7,5,3,1126,"Java","General QA","2024-12",3,2,"Appium,JUnit,Maven,Selenide/NSelen/Selen,TestNG"
"Software Engineer","Ecommerce,Internet of Things,Medtech / Healthcare",12,2,4,4,2700,"Java","Back-end","2024-12",4,1,"Spring,JAX-RS"
"Software Engineer","Security",12,3,3,4,3300,"Kotlin","Back-end","2024-12",3,1,"Spring"
"QA/QC/SDET","",28,1,7,4,5000,"Python","Automation QA","2024-12",4,2,"Appium,Playwright,Postman,PyTest"
"Financial Analyst","Telecom",1,3,10,5,2300,"",NA,"2024-12",4,3,NA
"Software Engineer","Ecommerce",1,1,1,4,450,"JavaScript","Front-end","2024-12",2,1,"Next.js,React,Node.js"
"Software Engineer","Ecommerce",24,1,3,1,900,"PHP","Back-end","2024-12",2,1,"Symfony"
"Product Analyst","Gamedev",1,3,3,3,1400,"DB langs",NA,"2024-12",3,3,NA
"Product Manager","Medtech / Healthcare",1,3,5,5,4500,"DB langs",NA,"2024-12",4,12,NA
"QA/QC/SDET","Embedded",3,1,4,4,3850,"C#/.NET","Automation QA","2024-12",5,2,".NET,PyTest"
"Software Engineer","Mobile",1,1,1,4,1000,"Dart","Mobile","2024-12",2,1,"Flutter"
"Project Manager","Security",1,3,10,3,5500,"",NA,"2024-12",4,11,NA
"Security Engineer","Fintech / Banking / Capital Management",1,3,10,2,1850,"Python","Information Security","2024-12",5,7,NA
"Product Marketing Manager","Ecommerce",2,3,3,4,1429,"",NA,"2024-12",4,19,NA
"Software Engineer","Ecommerce",1,1,3,4,2250,"TypeScript","Front-end","2024-12",3,1,"React"
"DevOps","Medtech / Healthcare",1,1,3,3,1400,"Інша",NA,"2024-12",3,5,NA
"QA/QC/SDET","Корпоративні системи",12,2,3,4,2800,"C#/.NET","Automation QA","2024-12",3,2,".NET"
"Software Engineer","Big Data",32,1,1,4,12000,"Java","Back-end","2024-12",4,1,"Hibernate,Flink,Apache Spark,Hadoop"
"Product Manager","Ecommerce",24,1,3,5,3500,"",NA,"2024-12",3,12,NA
"Software Engineer","",21,3,8,3,5400,"TypeScript","Full Stack","2024-12",4,1,"Nest.js,React,Node.js"
"System Administrator","Logistics,Medtech / Healthcare",1,3,9,3,1473,"",NA,"2024-12",4,6,NA
"QA/QC/SDET","Ecommerce",7,1,3,4,1900,"","Manual QA","2024-12",3,2,""
"Business Analyst","Gambling",1,3,2,5,4300,"",NA,"2024-12",4,3,NA
"Software Engineer","Fintech / Banking / Capital Management",11,3,8,3,4500,"PHP","Back-end","2024-12",5,1,"Symfony,Gin"
"Software Engineer","Agriculture",1,2,4,4,4500,"Python","Back-end","2024-12",4,1,"FastAPI"
"Software Engineer","Fintech / Banking / Capital Management",1,1,5,4,4800,"Java","Back-end","2024-12",4,1,"Spring"
"DevOps","Medtech / Healthcare",1,3,3,4,4100,"C#/.NET",NA,"2024-12",3,5,NA
"Data/Big Data Engineer","Business Intelligence / Data Warehouse",24,3,5,5,6000,"Python",NA,"2024-12",4,4,"Spark,airflow,dbt,Pandas,Requests"
"Delivery Manager","Medtech / Healthcare",12,1,10,5,4700,"",NA,"2024-12",4,11,NA
"Software Engineer","",26,3,3,4,3000,"PHP","Back-end","2024-12",3,1,"Symfony"
"Software Engineer","Fintech / Banking / Capital Management",1,1,7,2,3700,"TypeScript","Front-end","2024-12",3,1,"Angular / Angular.js"
"Business Development Manager","Blockchain",1,3,4,5,2800,"",NA,"2024-12",0,21,NA
"Software Engineer","Fintech / Banking / Capital Management",12,1,10,3,5285,"C#/.NET","Back-end","2024-12",4,1,".NET,ASP.NET"
"Software Engineer","Ecommerce",1,6,4,2,600,"PHP","Full Stack","2024-12",3,1,"WordPress,jQuery"
"Customer Support","Gamedev",1,3,1,4,600,"",NA,"2024-12",0,22,NA
"Operations Director","Ecommerce",15,3,3,4,5800,"",NA,"2024-12",12,13,NA
"UI/UX Designer","Hardware,Manufacturing",32,3,2,2,1563,"",NA,"2024-12",3,14,NA
"Software Engineer","Ecommerce",26,1,10,3,6000,"PHP","Back-end","2024-12",6,1,"Magento"
"Software Engineer","Media",1,2,2,5,4200,"Python","Back-end","2024-12",4,1,"FastAPI"
"Software Engineer","Logistics",3,2,7,3,4300,"Java","Back-end","2024-12",3,1,"Spring,Hibernate"
"Product Owner","Automotive,Ecommerce",1,1,3,4,3500,"",NA,"2024-12",4,12,NA
"Project Manager","Public services / Government",1,3,5,2,3500,"",NA,"2024-12",10,11,NA
"Product Analyst","Fintech / Banking / Capital Management",1,3,3,4,2709,"Python",NA,"2024-12",3,3,NA
"Software Engineer","Uberfication",24,3,7,5,5700,"Swift","Mobile","2024-12",4,1,"iOS SDK (Native),Combine,SwiftUI,UIKit"
"QA/QC/SDET","Ecommerce",1,3,8,3,3700,"TypeScript","Automation QA","2024-12",4,2,"Playwright"
"Software Engineer","High Load Systems",32,3,10,3,5375,"Java","Back-end","2024-12",5,1,"Hibernate,Spring"
"Software Engineer","Fintech / Banking / Capital Management",33,4,1,2,1000,"JavaScript","Front-end","2024-12",2,1,"Node.js,Vue.js,Capacitor"
"Software Engineer","Fintech / Banking / Capital Management",15,1,2,3,470,"TypeScript","Front-end","2024-12",2,1,"Angular / Angular.js"
"Learning/Training and Development","Gamedev",1,1,5,5,2400,"",NA,"2024-12",5,18,NA
"Software Engineer","Fintech / Banking / Capital Management",26,3,4,4,4300,"TypeScript","Front-end","2024-12",3,1,"React"
"HR Business Partner","Ecommerce",15,3,9,4,3050,"",NA,"2024-12",5,18,NA
"DevOps","Medtech / Healthcare",3,1,6,4,5000,"",NA,"2024-12",4,5,NA
"Software Engineer","Medtech / Healthcare",9,2,2,3,1150,"TypeScript","Front-end","2024-12",3,1,"Next.js,React,Node.js,Express"
"Software Engineer","Ecommerce,Insurance,Real estate",1,1,3,5,2800,"Java","Back-end","2024-12",4,1,"Hibernate,Spring"
"Software Engineer","Ecommerce,Retail",1,1,4,3,2570,"Golang","Back-end","2024-12",3,1,"Other"
"Software Engineer","Data Science,Ecommerce",1,4,4,3,3800,"JavaScript","Front-end","2024-12",3,1,"Angular / Angular.js,Node.js,Express"
"PPC Specialist","Classified",1,1,8,4,2600,"",NA,"2024-12",6,19,NA
"Project Manager","Medtech / Healthcare",12,3,5,3,1500,"",NA,"2024-12",3,11,NA
"Software Engineer","Medtech / Healthcare",23,3,5,3,2500,"Dart","Mobile","2024-12",3,1,"Flutter,Android SDK (Native),iOS SDK (Native),SwiftUI,UIKit"
"QA/QC/SDET","Business Intelligence / Data Warehouse",1,3,1,3,1600,"Python","Manual QA","2024-12",5,2,"JSON,Postman,Other"
"Lead Generation Specialist","Adtech / Advertising",15,1,2,4,600,"",NA,"2024-12",3,21,NA
"Head of HR","Embedded,Machine Learning,Mobile",7,2,9,4,4000,"",NA,"2024-12",7,18,NA
"Software Engineer","Fintech / Banking / Capital Management",1,1,4,4,3000,"TypeScript","Front-end","2024-12",3,1,"React"
"Social Media Manager","Dating",1,3,5,4,2300,"",NA,"2024-12",3,20,NA
"Software Engineer","Fintech / Banking / Capital Management",1,3,8,4,6500,"TypeScript","Front-end","2024-12",11,1,"React"
"Software Engineer","Retail",12,1,5,4,4300,"TypeScript","Front-end","2024-12",4,1,"React,Capacitor"
"QA/QC/SDET","Geospatial",12,1,0,4,800,"","Data Quality Engineer","2024-12",2,2,""
"Recruiter","Корпоративні системи",1,5,3,5,1800,"",NA,"2024-12",0,18,NA
"Software Engineer","Medtech / Healthcare",1,3,4,4,3100,"C#/.NET","Back-end","2024-12",3,1,".NET,ASP.NET"
"Software Engineer","Ecommerce",1,1,4,3,3100,"Python","Back-end","2024-12",3,1,"FastAPI,Django"
"Software Engineer","Ecommerce",28,1,1,3,420,"C#/.NET","Full Stack","2024-12",2,1,"ASP.NET,Angular / Angular.js,React"
"Software Engineer","Gambling",14,3,3,3,2000,"PHP","Back-end","2024-12",3,1,"Symfony"
"Software Engineer","Gambling",1,3,10,4,8400,"Scala","Back-end","2024-12",6,1,"Akka"
"Software Engineer","Retail",6,1,5,4,2700,"TypeScript","Full Stack","2024-12",3,1,"React,Node.js,Next.js"
"Data Analyst","Fintech / Banking / Capital Management",1,3,1,4,1568,"DB langs",NA,"2024-12",2,3,NA
"Project Manager","Telecom",20,3,6,3,1470,"VBA",NA,"2024-12",3,11,NA
"Software Engineer","Fintech / Banking / Capital Management",9,3,4,4,3885,"C#/.NET","Back-end","2024-12",4,1,"ASP.NET,.NET"
"QA/QC/SDET","Fintech / Banking / Capital Management",1,3,4,4,2000,"","Manual QA","2024-12",4,2,""
"DevOps","Ecommerce",7,1,1,2,800,"Groovy",NA,"2024-12",2,5,NA
"Product Manager","Machine Learning",15,3,6,4,5400,"",NA,"2024-12",4,12,NA
"Software Engineer","Fintech / Banking / Capital Management",5,2,1,5,1200,"Python","Full Stack","2024-12",2,1,"Django,Flask,FastAPI,React,Vue.js"
"Software Engineer","Telecom",1,3,5,3,1700,"Java","Back-end","2024-12",3,1,"Spring"
"Software Engineer","Fintech / Banking / Capital Management",17,3,10,2,5750,"PHP","Back-end","2024-12",4,1,"Symfony,Vue.js,jQuery"
"QA/QC/SDET","Travel",1,1,7,4,3515,"Java","Automation QA","2024-12",4,2,"Cucumber,Maven,Selenide/NSelen/Selen,JUnit"
"Software Engineer","Gamedev",32,3,10,3,6000,"C#/.NET","Back-end","2024-12",6,1,"ASP.NET,.NET,Unity,Blazer"
"Software Engineer","",32,5,2,2,2200,"PHP","Back-end","2024-12",3,1,"Drupal"
"Software Engineer","Hardware,Telecom",6,3,10,3,2000,"C++","Desktop","2024-12",4,1,""
"Data/Big Data Engineer","Fintech / Banking / Capital Management",1,3,5,4,3000,"Python",NA,"2024-12",4,4,"airflow,Spark,dbt"
"Data/Big Data Engineer","Retail,Business Intelligence / Data Warehouse,Machine Learning",12,3,4,4,3000,"Python",NA,"2024-12",3,4,"Spark,airflow"
"Data Analyst","Fintech / Banking / Capital Management",12,3,1,3,1100,"",NA,"2024-12",3,3,NA
"Technical Support","Retail",1,1,1,3,1200,"C#/.NET",NA,"2024-12",2,22,NA
"Business Analyst","Fintech / Banking / Capital Management",3,3,1,1,1050,"",NA,"2024-12",3,3,NA
"Software Engineer","Fintech / Banking / Capital Management",1,2,10,5,6000,"C#/.NET","Back-end","2024-12",6,1,".NET"
"Software Engineer","Geospatial",1,1,8,4,1500,"C#/.NET","Back-end","2024-12",3,1,".NET"
"Software Engineer","Media",17,1,4,4,2500,"Ruby","Back-end","2024-12",3,1,"Ruby on Rails"
"Software Engineer","Automotive",1,2,4,5,4000,"Java","Full Stack","2024-12",4,1,"Node.js,React,Spring"
"Product Director","Edtech / Education",1,3,0,4,3000,"",NA,"2024-12",0,12,NA
"Software Engineer","Automotive,Ecommerce,Корпоративні системи",11,3,2,3,1750,"Python","Back-end","2024-12",3,1,"Flask,Django"
"Software Engineer","Software development",3,3,5,4,4700,"C#/.NET","Back-end","2024-12",4,1,".NET,ASP.NET"
"UI/UX Researcher","Mobile,Travel",15,3,4,5,2425,"",NA,"2024-12",4,14,NA
"Software Engineer","Manufacturing",12,3,3,5,880,"C#/.NET","Back-end","2024-12",2,1,".NET,ASP.NET"
"Recruiter","Edtech / Education",1,3,2,5,866,"",NA,"2024-12",3,18,NA
"Software Engineer","Machine Learning",1,3,7,4,6980,"Java","Back-end","2024-12",4,1,""
"Site Reliability Engineer","Mobile",1,3,6,4,6300,"",NA,"2024-12",4,5,NA
"Software Engineer","Ecommerce",3,3,8,2,4500,"Java","Back-end","2024-12",4,1,"Spring,Hibernate"
